"NO","ROI_ID","SampleID","SI","Amplitude","1H(CS)","13C(CS)","1H(LW)","13C(LW)","Designate_vPC"
41490,"ROI391","Dc2.2","30",305138.7,3.899,69.87,20,20,"vPC844"
41491,"ROI407","Dc4.1","3",305133.79,6.639,113.43,20,20,"vPC1252"
41493,"ROI120","Dn5.2","49",305107.87,6.716,104.53,20,20,"vPC1620"
41496,"ROI113","Do5.1","26",305063.89,5.171,102.6,14.6,20,"vPC127"
41499,"ROI330","Do7.3","86",305027.72,0.864,21.4,17.9,20,"vPC588"
41500,"ROI121","Dn1.2","45",304979.17,6.65,104.38,20,20,"vPC767"
41501,"ROI422","Dn4.2","48",304969.73,3.654,74.18,20,20,"vPC1631"
41504,"ROI416","Do7.1","28",304933.22,5.347,122.59,11.9,20,"vPC142"
41507,"ROI364","Dd1.2","34",304840.83,0.939,47.02,20,6.5,"vPC1031"
41509,"ROI350","Dn2.2","46",595163.08,0.938,16.93,20,20,"vPC92"
41511,"ROI145","Dd5.1","9",304793.23,1.746,25.54,20,20,"vPC381"
41513,"ROI235","Df1.3","70",304767.5,1.781,41.45,20,20,"vPC1485"
41514,"ROI69","Dc5.1","4",304763.81,3.876,70.61,15,20,"vPC163"
41516,"ROI475","Do1.1","22",304733.85,3.275,53.63,11.4,9,"vPC360"
41518,"ROI422","Dc5.2","33",304711.05,3.658,75.06,20,20,"vPC1086"
41519,"ROI432","Do7.3","86",304698.79,1.125,19.45,16.8,20,"vPC579"
41520,"ROI151","Dn3.2","47",304686,2.056,29.8,20,20,"vPC957"
41526,"ROI380","Dn6.1","21",304630.31,3.56,74.53,20,20,"vPC879"
41529,"ROI246","Dd5.1","9",304557.68,3.743,67.91,20,20,"vPC1345"
41530,"ROI173","Dc5.2","33",304555.28,3.949,72.67,20,20,"vPC457"
41531,"ROI39","Do6.2","56",304547.86,3.907,56.85,16.3,20,"vPC1615"
41534,"ROI226","Dd3.3","65",304477.11,1.169,29.05,20,20,"vPC482"
41536,"ROI424","Dc2.1","1",304452.74,4.039,83.53,5,5,"vPC2171"
41537,"ROI276","Do2.2","52",304418.89,1.973,33.43,20,20,"vPC1705"
41540,"ROI137","Dc5.3","62",304369.99,0.797,15.71,16.8,20,"vPC1489"
41541,"ROI56","Df2.1","13",304368.66,3.466,64.27,9.5,20,"vPC755"
41543,"ROI115","Do2.1","23",304279.24,4.888,102.54,20,20,"vPC603"
41548,"ROI62","Df2.2","42",304242.5,4.367,63.22,19.7,20,"vPC1331"
41552,"ROI72","Dn3.2","47",304176.36,3.478,68.88,20,20,"vPC310"
41555,"ROI120","Do4.2","54",304091.82,6.721,104.33,20,15.2,"vPC1620"
41559,"ROI137","Dn6.1","21",304059,0.802,15.23,20,20,"vPC1087"
41562,"ROI187","Do7.3","86",303996.03,1.327,20.9,20,20,"vPC1098"
41563,"ROI416","Dd7.2","40",303986.84,5.348,122.6,11,20,"vPC142"
41564,"ROI462","Dd2.3","64",303975.58,4.39,102.27,20,20,"vPC1557"
41568,"ROI383","Df4.1","15",303943.26,3.642,61.52,20,20,"vPC1427"
41570,"ROI389","Do5.3","84",303922.61,4.201,72.96,6.4,20,"vPC1395"
41576,"ROI83","Dd6.2","39",303881.27,3.469,75.09,19.8,20,"vPC664"
41581,"ROI331","Dc3.2","31",303800.58,1.574,23.78,20,20,"vPC825"
41583,"ROI8","Dc1.1","0",303794.84,1.52,15.62,17.2,20,"vPC585"
41584,"ROI18","Do4.3","83",303793.19,1.458,21.98,20,20,"vPC488"
41586,"ROI8","Df4.1","15",303739.97,1.519,15.59,15.8,20,"vPC585"
41587,"ROI289","Dd4.1","8",303717.94,2.056,20.75,20,20,"vPC769"
41591,"ROI497","Do2.2","52",303568.17,3.133,55.41,20,20,"vPC1870"
