"NO","PeakID","SampleID","SI","Amplitude","1H(CS)","13C(CS)","1H(LW)","13C(LW)","Designate_PC"
14935,9261,"Dn4.1",19,618031.8,1.327,23.48,20,20,NA
14936,9083,"Dc3.2",31,618030.15,6.655,116.03,20,20,NA
14937,5686,"Df2.1",13,617979.39,0.969,14.445,10.3,5,NA
14938,7919,"Dn3.1",18,617953.51,1.602,26.5,20,20,NA
14939,7071,"Df1.2",41,617905.77,3.967,77.69,20,20,NA
14940,9858,"Dc2.3",59,617878.09,3.888,75.04,20,20,NA
14941,6245,"Dn2.1",17,617861.79,2.804,26.34,12.9,5,NA
14942,7674,"Dd7.2",40,617801.35,5.259,71.62,20,11.1,NA
14943,9567,"Dd3.2",36,617791.45,3.233,71.81,20,20,NA
14944,6237,"Dd1.2",34,617635.1,3.979,73.87,15.1,20,NA
14945,6903,"Dn3.1",18,617590.59,3.756,82.99,20,5,NA
14946,10473,"Dc1.1",0,617585.19,3.621,56.42,20,20,NA
14947,9467,"Dd3.2",36,617557.53,3.204,74.83,20,20,NA
14948,8034,"Do2.3",81,617496.29,3.108,49.33,20,20,NA
14949,8319,"Dc1.3",58,617477.47,6.757,115.78,20,20,NA
14950,6227,"Df2.2",42,617435.52,3.881,70.59,12.8,5,NA
14951,7862,"Dc5.3",62,617285.24,3.502,60.63,20,20,NA
14952,7612,"Dn1.2",45,617214.4,2.389,33.97,20,20,NA
14953,10034,"Dn4.1",19,617210.85,0.924,13.672,20,20,NA
14954,9388,"Dc4.3",61,617198.3,3.589,56.38,20,20,NA
14955,7743,"Dc4.3",61,617042.77,1.066,30.28,20,20,NA
14956,7645,"Df2.1",13,617039.61,3.755,64.6,20,20,NA
14957,8768,"Dn3.1",18,617025.2,1.002,15.78,20,20,NA
14958,9210,"Dn5.2",49,616974.62,2.591,41.59,20,20,NA
14959,4271,"Do6.1",27,616973.38,3.303,49.58,5,5,NA
14960,6812,"Dc3.1",2,616911.04,3.444,71.97,20,20,NA
14961,6309,"Df2.2",42,616846.05,4.108,65.76,15.1,20,NA
14962,8883,"Dc2.3",59,616762.92,2.076,21.33,20,20,NA
14963,8180,"Df3.1",14,616757.7,1.057,57.46,16.3,20,NA
14964,9426,"Do2.3",81,616684.95,3.679,63.38,20,20,NA
14965,9646,"Do1.3",80,616592.1,1.359,26.21,20,20,NA
14966,5493,"Do4.3",83,616533.92,3.716,65.04,8.5,20,NA
14967,6748,"Do3.3",82,616517.84,1.517,15.66,14.8,20,NA
14968,4660,"Dn2.1",17,616383.24,1.326,15.66,5.3,18.4,NA
14969,8202,"Df2.2",42,616354.4,1.166,28.93,20,20,NA
14970,11536,"Dn2.1",17,616276.27,1.529,32.79,20,20,NA
14971,10311,"Do3.3",82,616162.99,2.044,33.05,20,20,NA
14972,6219,"Dn6.3",79,616051.78,3.273,53.9,16,20,NA
14973,9562,"Dc3.2",31,615893,6.718,115.75,20,20,NA
14974,6694,"Dc4.1",3,615793.84,6.713,117.77,17.6,20,NA
14975,9153,"Dc2.1",1,615765.6,2.044,41.36,20,20,NA
14976,8295,"Dc1.1",0,615740.66,6.756,115.78,20,20,NA
14977,6455,"Dd1.1",5,615698.96,4.883,100.41,14,20,NA
14978,8924,"Dd1.1",5,615693.02,3.576,74.46,20,20,NA
14979,8982,"Df4.1",15,615685.29,1.316,25.9,20,20,NA
14980,9385,"Dd7.3",69,615647.1,3.272,74.77,20,20,NA
14981,9106,"Dn3.1",18,615644.23,2.336,32.96,20,20,NA
14982,7251,"Dd4.1",8,615553.28,3.83,65,20,20,NA
14983,7318,"Do1.1",22,615544.69,3.619,51.59,20,20,NA
14984,8447,"Dd4.1",8,615507.21,1.494,21.97,20,20,NA
14985,8282,"Dn4.1",19,615465.27,2.8,41.4,20,20,NA
14986,8936,"Dn3.1",18,615344.39,2.123,26.37,20,20,NA
14987,8485,"Dc3.2",31,615326.9,3.533,77.48,20,20,NA
14988,6328,"Do3.2",53,615285.82,2.206,31.79,16.1,20,NA
14989,7955,"Dn6.3",79,615275.95,2.078,26.88,20,20,NA
14990,8585,"Do7.1",28,615251.74,3.541,80.92,20,5,NA
14991,7250,"Dn3.1",18,615168.99,2.771,41.31,20,20,NA
14992,7907,"Dd7.3",69,615116.7,3.478,74.9,17.6,20,NA
14993,7209,"Dc4.1",3,615093.65,6.578,107.61,20,20,NA
14994,8475,"Dn3.2",47,614956.75,3.758,64.6,17.8,20,NA
14995,8647,"Dn1.2",45,614935.54,0.86,12.236,20,20,NA
14996,6628,"Dd3.3",65,614928.74,2.051,20.63,19.7,20,NA
14997,7855,"Dn1.3",74,614923.72,3.663,61.37,20,20,NA
14998,4354,"Dd1.2",34,614895.48,1.28,29.89,5,5,NA
14999,7739,"Dd7.3",69,614881.59,6.949,111.95,20,20,NA
15000,9781,"Dn3.1",18,614824.05,1.312,38.4,20,20,NA
15001,9847,"Dn3.1",18,614635.63,1.418,26.09,20,20,NA
15002,8296,"Dd2.2",35,614578.26,6.957,116.88,20,20,NA
15003,4877,"Dc5.2",33,614473.62,3.744,56.77,5,20,NA
15004,6261,"Dc1.3",58,614471.62,4.108,65.76,14.4,20,NA
15005,11326,"Df1.1",12,614457.57,4.451,98.56,20,20,NA
15006,7261,"Dd2.2",35,614456.97,1.516,15.57,19,20,NA
15007,7783,"Dn1.3",74,614432.66,2.39,33.97,20,20,NA
15008,8480,"Dd6.3",68,614319.26,3.484,55.18,20,20,NA
15009,6588,"Do5.2",55,614223.09,2.424,31.67,20,20,NA
15010,6909,"Do1.3",80,614206.22,2.22,42.8,20,20,NA
15011,10143,"Dc2.3",59,614122.23,3.161,74.94,20,20,NA
15012,7837,"Dc4.1",3,614073.35,3.439,61.59,20,20,NA
15013,4374,"Do5.1",26,614067.83,2.557,30.23,5,9.5,NA
15014,9382,"Dd3.2",36,614064.95,1.53,33.26,20,20,NA
15015,4636,"Dn6.1",21,614030.55,6.242,104.92,5,5,NA
15016,8628,"Do3.3",82,613987.83,6.733,105.32,20,20,NA
15017,8940,"Dc3.1",2,613973.56,1.286,22.24,20,20,NA
15018,8094,"Df2.1",13,613971.78,3.359,78.9,20,20,NA
15019,8137,"Dd1.2",34,613920.56,2.706,40.99,20,20,NA
15020,9396,"Dc1.3",58,613900.15,3.462,63.62,20,20,NA
15021,4730,"Do7.1",28,613865.04,6.228,104.88,5.6,5,NA
15022,9563,"Dd2.1",6,613808.63,6.523,131.26,20,20,NA
15023,6418,"Dd7.3",69,613779.69,4.546,64.82,20,5,NA
15024,6651,"Do7.1",28,613755.8,3.862,61.89,5,20,NA
15025,6194,"Df3.1",14,613713.08,0.968,14.473,11.4,5,NA
15026,7597,"Dd3.2",36,613667.51,1.029,15.43,19.9,20,NA
15027,11766,"Dc4.1",3,613642.29,3.635,62.02,20,20,NA
15028,10032,"Dn5.1",20,613621.58,1.588,25.37,20,20,NA
15029,9360,"Dd3.3",65,613612.73,3.604,62.06,20,14.9,NA
15030,7527,"Dd7.2",40,613529.65,3.632,74.93,16.5,20,NA
15031,9758,"Dd4.3",66,613520.11,3.583,74.54,20,20,NA
15032,8765,"Dc2.3",59,613497.2,7.02,117.57,20,20,NA
15033,9611,"Dd4.3",66,613451.59,6.523,131.28,20,20,NA
15034,7305,"Dn2.3",75,613399.01,1.668,33.54,20,20,NA
15035,9092,"Dd3.2",36,613387.52,6.678,103.89,20,20,NA
15036,8789,"Df3.3",72,613358.05,3.627,74.91,20,20,NA
15037,8681,"Dc2.1",1,613306.86,7.02,117.57,20,20,NA
15038,8369,"Dn5.2",49,613293.69,0.919,20.98,20,20,NA
15039,9413,"Dn1.3",74,613271.42,3.694,56.5,20,20,NA
15040,8204,"Do2.1",23,613241.07,1.086,57.2,20,19.1,NA
15041,6927,"Do4.1",25,613221.36,3.518,60.67,20,20,NA
15042,9851,"Df2.1",13,613134.82,1.755,34.76,19.7,20,NA
15043,6858,"Dc4.3",61,613071.17,6.713,117.78,19.1,20,NA
15044,8958,"Dn6.3",79,613027.03,1.521,32.48,20,20,NA
15045,12112,"Dd2.1",6,613026.1,3.145,71.48,20,20,NA
15046,7468,"Dc5.3",62,612980.06,4.443,63.87,20,20,NA
15047,8877,"Dc4.3",61,612939.88,3.685,64.88,20,20,NA
15048,15601,"Dd3.3",65,612934.62,3.737,64.8,20,20,NA
15049,4137,"Do2.1",23,612866.8,3.552,64.93,5,5,NA
15050,8336,"Dd6.3",68,612836.31,5.017,73.89,20,20,NA
15051,10556,"Dc4.3",61,612780.95,1.11,30.42,20,20,NA
15052,5935,"Dn1.2",45,612695.6,4.582,85.89,12.7,20,NA
15053,8617,"Dd3.3",65,612637.95,5.011,73.92,20,20,NA
15054,10363,"Do1.3",80,612574.75,1.425,25.9,20,20,NA
15055,5128,"Dn2.1",17,612574.34,3.476,74.89,20,20,NA
15056,7256,"Dn6.3",79,612553.98,3.553,62.49,20,20,NA
15057,10486,"Do1.3",80,612481.42,3.523,63.69,20,20,NA
15058,8185,"Dn5.2",49,612455.77,1.51,21.99,20,20,NA
15059,6859,"Df3.1",14,612359.35,3.461,61.57,20,20,NA
15060,9499,"Dn4.3",77,612335.9,0.924,13.698,20,20,NA
15061,9481,"Dn3.1",18,612306.25,3.666,72.05,20,20,NA
15062,8394,"Dn3.1",18,612185.18,1.479,21.95,20,20,NA
15063,7092,"Dn6.1",21,612183.25,1.077,20.3,20,20,NA
15064,8875,"Dn4.3",77,612173.51,1.712,26.02,20,20,NA
15065,9698,"Dd5.2",38,612116.96,3.399,64.16,20,20,NA
15066,8290,"Do5.2",55,612097.12,1.026,34.88,20,17.1,NA
15067,8723,"Dc3.2",31,612063.01,3.58,74.53,20,20,NA
15068,8007,"Do5.2",55,612050.81,1.436,33.6,20,20,NA
15069,8056,"Do2.1",23,612009.52,5.299,128.07,20,20,NA
15070,9233,"Dn1.2",45,611979.81,3.693,56.49,20,20,NA
15071,8194,"Dn3.2",47,611978.29,3.862,61.84,20,20,NA
15072,6984,"Df4.1",15,611954.65,2.386,33.99,17.2,20,NA
15073,6022,"Do3.3",82,611944.12,4.104,84.41,14,20,NA
15074,5811,"Dd3.2",36,611903,3.905,70.9,11.5,20,NA
15075,5729,"Dd3.3",65,611884.76,3.735,74.34,8.2,20,NA
15076,9602,"Dc5.3",62,611863.36,1.276,38.19,20,20,NA
15077,6754,"Df1.1",12,611862.76,1.002,22.51,17.4,5,NA
15078,6374,"Dc4.1",3,611796.68,3.757,82.9,18.7,5,NA
15079,7490,"Dd7.2",40,611708.95,3.303,74.74,20,20,NA
15080,7453,"Do4.1",25,611621.03,2.435,26.54,14.3,5,NA
15081,6572,"Dn6.1",21,611484.66,3.694,55.5,20,20,NA
15082,7008,"Dd7.3",69,611418.22,3.542,62.62,20,20,NA
15083,7858,"Dd6.2",39,611407.04,3.74,56.82,20,20,NA
15084,5619,"Dd2.2",35,611389.05,1.378,30.45,7.4,20,NA
15085,5797,"Dd4.1",8,611321.83,3.98,73.88,11.8,20,NA
15086,7605,"Dc5.2",33,611277.11,3.51,72.18,20,5,NA
15087,12711,"Dd6.2",39,611111.21,1.27,29.17,20,20,NA
15088,8025,"Dn4.3",77,611077.43,3.903,56.51,19.6,20,NA
15089,7250,"Dd4.3",66,611069.33,3.515,72.2,20,20,NA
15090,9057,"Dn4.1",19,610921.67,1.641,38.08,20,20,NA
15091,7760,"Dc3.2",31,610906.76,3.828,64.89,20,16,NA
15092,10238,"Dn1.3",74,610848.15,1.289,23.59,20,20,NA
15093,9957,"Dn2.3",75,610787.66,1.447,23.91,20,20,NA
15094,9260,"Dc4.3",61,610742.37,3.371,61.91,20,20,NA
15095,8175,"Do7.2",57,610727.44,6.656,104.24,20,20,NA
15096,7469,"Do6.2",56,610692.62,3.258,53.11,20,20,NA
15097,8020,"Dd1.1",5,610688.73,3.512,80.92,20,20,NA
15098,6032,"Dn1.3",74,610539.7,4.583,85.89,13.1,20,NA
15099,5081,"Dn3.2",47,610503.99,3.354,73.63,5,20,NA
15100,8592,"Do7.1",28,610502.31,1.677,30.15,20,20,NA
15101,7334,"Dn1.3",74,610385.91,3.479,75.05,20,20,NA
15102,6728,"Dn5.1",20,610208.67,4.004,56.94,17.5,14.1,NA
15103,7112,"Dd5.1",9,610175.36,4.02,65.14,20,5,NA
15104,8125,"Dc5.3",62,610143.95,3.738,71.21,20,20,NA
15105,6521,"Df2.1",13,610140.29,3.895,69.85,17,20,NA
15106,9390,"Dd7.3",69,610011.74,6.887,120.56,20,20,NA
15107,8637,"Dn4.3",77,609978.5,1.122,19.55,20,20,NA
15108,7576,"Do5.2",55,609963.66,3.88,80.04,20,20,NA
15109,5428,"Dn3.2",47,609905.16,1.012,15.31,20,20,NA
15110,8499,"Dn1.2",45,609895.95,2.613,41.48,20,20,NA
15111,6399,"Dn4.1",19,609895.77,2.798,26.35,13.6,6.6,NA
15112,9656,"Do1.3",80,609879.44,3.162,74.87,20,20,NA
15113,10124,"Dc2.3",59,609801.64,4.495,64.83,20,20,NA
15114,7445,"Dc3.1",2,609754.14,3.474,64.18,20,20,NA
15115,6120,"Dc4.1",3,609661.98,3.411,71.12,6.6,20,NA
15116,7653,"Dn2.3",75,609653.68,4.078,73.15,20,20,NA
15117,12329,"Df4.1",15,609647.95,3.3,72.87,20,20,NA
15118,9539,"Dd1.1",5,609630.21,6.523,131.26,20,20,NA
15119,13312,"Dn3.1",18,609615.55,1.07,19.26,20,20,NA
15120,7162,"Dd7.3",69,609607.15,7.024,111.11,20,20,NA
15121,8234,"Dn3.1",18,609591.02,3.781,70.97,20,20,NA
15122,7457,"Dn2.3",75,609576.69,0.989,14.693,20,20,NA
15123,9950,"Dc2.3",59,609539.89,3.402,71.94,20,20,NA
15124,9164,"Do3.3",82,609359.8,4.27,72.41,20,20,NA
15125,8694,"Do4.3",83,609333.57,3.541,62.72,20,20,NA
15126,9097,"Dc2.3",59,609270.52,3.857,72.35,20,20,NA
15127,8817,"Do2.1",23,609258.52,3.97,64.69,20,5,NA
