w1,w2,Volume,lw1,lw2
154.705,8.719,2.66E+12,97.1,11.9
150.516,8.946,2.32E+12,102.4,10.3
149.193,8.243,1.17E+13,96.7,9.7
143.099,8.351,1.19E+13,94.8,9.8
139.346,8.256,2.79E+12,97.1,17.3
127.068,7.602,3.21E+12,97.9,19.1
98.737,4.652,4.95E+12,100.5,17.3
94.968,5.253,3.26E+12,97.8,10.9
91.158,6.108,1.71E+13,95.1,12.4
88.415,4.288,1.87E+13,96.4,12.5
79.09,3.739,4.60E+12,100.8,17.1
78.389,3.521,4.15E+12,100.9,16.3
76.839,4.782,1.77E+13,97.2,14.3
76.822,3.297,4.17E+12,101.7,19.1
75.405,3.738,3.21E+12,106.9,19.4
74.7,4.102,1.53E+12,99.8,10.4
74.71,4.086,1.44E+12,100,9.7
74.763,3.521,7.60E+12,124.9,22.3
74.133,3.587,4.09E+12,98.6,21
73.184,4.449,1.86E+13,96.4,13
69.021,3.913,7.59E+12,97.3,9.5
64.129,3.93,7.47E+12,98.6,10.7
64.13,3.912,1.12E+13,96.6,10.5
64.121,3.86,1.17E+13,97.8,11.4
64.122,3.841,7.02E+12,98.9,11
59.252,4.064,1.03E+13,102.8,9.3
58.974,4.044,1.01E+13,105.5,10.9
56.961,3.784,3.11E+13,96.2,15.3
56.201,3.276,3.79E+13,95.5,9.5
50.384,3.275,2.11E+13,96.1,15.3
38.162,3.431,2.29E+13,96.1,15.2
33.649,2.464,5.86E+13,96.3,29.3
33.021,3.074,9.14E+11,105.3,7.3
33.008,3.052,5.20E+13,96.9,9.4
32.062,3.053,4.40E+11,40.6,11.2
29.081,2.151,6.32E+13,96.3,24.8
