w1,w2,Volume,lw1,lw2
154.696,8.711,1.19E+13,95.3,11.7
150.52,8.936,9.12E+12,95.6,10
149.195,8.234,2.68E+13,94.7,9.6
143.081,8.344,2.77E+13,94.9,9.7
139.339,8.247,1.15E+13,96.3,16.6
127.068,7.594,1.29E+13,96.8,17.2
98.739,4.651,2.27E+12,99.9,21.5
94.962,5.252,1.09E+12,99.6,10.8
91.163,6.1,3.98E+13,94.9,12.4
88.409,4.285,4.29E+13,94.8,12.4
79.108,3.739,2.58E+12,108.8,23.9
78.397,3.522,1.87E+12,106.3,18.8
76.843,4.776,4.08E+13,95.1,14.3
76.835,3.295,1.54E+12,106.6,15.9
74.737,3.522,2.14E+12,111,18
74.152,3.586,2.78E+12,103.8,33
73.181,4.446,4.31E+13,94.8,13
69.02,3.912,8.79E+12,96.6,9.6
64.128,3.929,1.76E+13,96.6,10.8
64.125,3.91,2.57E+13,96.7,10.4
64.119,3.858,2.75E+13,96.1,11.5
64.127,3.839,1.57E+13,95.6,10.9
59.258,4.059,3.65E+12,104.6,9.8
58.968,4.038,2.15E+12,105.2,10.3
56.963,3.783,2.91E+13,96,15.4
56.227,3.297,7.81E+11,108,7.6
56.201,3.275,4.36E+13,95.7,9.5
50.394,3.275,9.91E+12,97.1,15.5
38.159,3.431,1.06E+13,96.6,15.2
33.646,2.463,5.44E+13,96.5,29.1
33.007,3.048,1.18E+13,96.4,9.6
29.083,2.15,5.92E+13,96.4,24.7
