w1,w2,Volume,lw1,lw2
154.712,8.718,2.75E+12,99.8,12.7
150.533,8.944,2.18E+12,100.3,10.6
149.195,8.242,1.40E+13,96.7,10.3
143.106,8.351,1.39E+13,95.2,10.6
139.356,8.256,3.05E+12,101.9,19.2
127.094,7.602,3.35E+12,101.9,20.5
98.734,4.653,5.13E+12,102.2,17.9
94.961,5.254,2.97E+12,97.4,11.6
91.163,6.107,2.09E+13,95.8,13.3
88.42,4.288,2.25E+13,97.4,13.5
79.086,3.74,5.26E+12,103.1,18.2
78.397,3.521,4.22E+12,103.8,17.2
76.843,4.782,2.18E+13,97.5,15.1
76.839,3.297,4.24E+12,100.9,21.1
75.391,3.739,3.39E+12,103.7,21.2
74.679,4.103,1.56E+12,96.5,10.7
74.708,4.086,1.23E+12,95.6,10.1
74.758,3.521,7.89E+12,126.5,23.9
74.144,3.587,3.81E+12,100.6,21.6
73.19,4.449,2.31E+13,97.3,14.1
69.026,3.913,9.09E+12,97,10.1
64.127,3.93,9.64E+12,97.2,11.7
64.13,3.912,1.31E+13,97,10.8
64.122,3.854,2.47E+13,98.1,22.3
59.243,4.064,5.94E+12,104.4,9.6
58.98,4.043,9.61E+12,107.5,11.7
56.962,3.784,3.20E+13,96.4,16.3
56.204,3.276,4.57E+13,95.7,10.2
50.387,3.276,2.11E+13,95.6,16
38.165,3.432,2.33E+13,96.8,16.1
33.65,2.464,5.85E+13,96.3,30
33.007,3.052,5.13E+13,96.7,10.1
32.065,3.051,5.23E+11,42.7,13.1
29.081,2.151,6.30E+13,95.9,25.4
