w1,w2,Volume,lw1,lw2
154.71,8.721,5.99E+12,98.4,11.8
150.533,8.948,4.58E+12,97.2,10.1
149.183,8.245,3.23E+12,97,10.1
143.1,8.354,3.25E+12,97.4,10.2
139.353,8.258,5.86E+12,96.9,18
127.073,7.604,6.28E+12,97.5,17.7
98.736,4.653,9.37E+12,97,16.3
94.965,5.253,6.31E+12,96.2,10.9
91.159,6.111,4.64E+12,98.6,12.5
88.419,4.289,5.25E+12,98.6,13
79.091,3.74,9.46E+12,100,17.1
78.392,3.52,8.96E+12,101.9,17.5
76.841,4.783,5.03E+12,101,14.5
76.838,3.297,8.64E+12,99.7,20.2
75.397,3.738,6.91E+12,102.7,22.2
74.697,4.102,3.14E+12,96,10.6
74.701,4.086,2.90E+12,99.8,9.8
74.771,3.52,1.45E+13,117.4,23
74.143,3.587,7.62E+12,101,18.8
73.194,4.45,4.99E+12,96.3,13.2
69.021,3.913,1.75E+13,96.4,9.6
64.119,3.93,2.28E+12,101.3,11.2
64.131,3.912,2.95E+12,100.3,10.3
64.111,3.86,3.15E+12,98.7,11.8
64.125,3.841,1.79E+12,98.6,10.5
59.239,4.065,3.14E+12,105.8,9.3
58.97,4.045,4.83E+12,111,11.1
56.961,3.784,1.53E+13,97.6,15.5
56.222,3.298,8.11E+11,103.9,4.2
56.203,3.276,8.82E+13,95.8,9.6
50.38,3.276,2.12E+13,95.5,15.2
38.163,3.432,2.38E+13,96.7,15.4
33.647,2.464,2.82E+13,97.7,29
33.008,3.053,2.55E+13,96.8,9.5
29.078,2.151,3.04E+13,96.3,24.4
