"NO","PeakID","SampleID","SI","Amplitude","1H(CS)","13C(CS)","1H(LW)","13C(LW)","Designate_PC"
82,5,"S4",3,1.15e+13,8.247,139.339,16.6,96.3,"PC20"
83,21,"S1",0,1.14e+13,4.448,73.183,13.4,95.9,"PC7"
84,24,"S2",1,1.14e+13,3.861,64.121,11.4,97.8,"PC15"
85,3,"S2",1,1.13e+13,8.244,149.151,9.9,94.5,"PC17"
86,23,"S2",1,1.12e+13,3.913,64.126,10.7,97.6,"PC19"
87,23,"S6",5,1.12e+13,3.912,64.13,10.5,96.6,"PC19"
88,14,"S1",0,1.09e+13,4.779,76.841,14.5,97.4,"PC9"
89,10,"S1",0,1.08e+13,6.104,91.157,12.8,97.3,"PC10"
90,29,"S4",3,1.06e+13,3.431,38.159,15.2,96.6,"PC5"
91,26,"S6",5,1.03e+13,4.064,59.252,9.3,102.8,"PC31"
92,27,"S6",5,1.01e+13,4.044,58.974,10.9,105.5,"PC32"
93,28,"S4",3,9.91e+12,3.275,50.394,15.5,97.1,"PC6"
94,22,"S5",4,9.64e+12,3.93,64.127,11.7,97.2,"PC26"
95,26,"S5",4,9.61e+12,4.043,58.98,11.7,107.5,"PC32"
96,27,"S2",1,9.52e+12,4.045,58.974,11.1,106.9,"PC32"
97,11,"S3",2,9.46e+12,3.74,79.091,17.1,100,"PC23"
98,7,"S3",2,9.37e+12,4.653,98.736,16.3,97,"PC22"
99,2,"S4",3,9.12e+12,8.936,150.52,10,95.6,"PC21"
100,21,"S5",4,9.09e+12,3.913,69.026,10.1,97,"PC11"
101,12,"S3",2,8.96e+12,3.52,78.392,17.5,101.9,"PC24"
102,18,"S4",3,8.79e+12,3.912,69.02,9.6,96.6,"PC11"
103,14,"S3",2,8.64e+12,3.297,76.838,20.2,99.7,"PC25"
104,18,"S5",4,7.89e+12,3.521,74.758,23.9,126.5,"PC13"
105,19,"S1",0,7.83e+12,3.521,74.768,24.6,128.4,"PC13"
106,19,"S3",2,7.62e+12,3.587,74.143,18.8,101,"PC27"
107,18,"S6",5,7.6e+12,3.521,74.763,22.3,124.9,"PC13"
108,21,"S6",5,7.59e+12,3.913,69.021,9.5,97.3,"PC11"
109,28,"S2",1,7.51e+12,3.786,56.961,15.6,97.9,"PC12"
110,22,"S6",5,7.47e+12,3.93,64.129,10.7,98.6,"PC26"
111,4,"S1",0,7.39e+12,8.348,143.094,10.1,97.2,"PC14"
112,3,"S1",0,7.32e+12,8.238,149.187,10,97.2,"PC17"
113,26,"S1",0,7.24e+12,3.859,64.122,11.6,97.9,"PC15"
114,22,"S2",1,7.23e+12,3.931,64.127,10.7,99.2,"PC26"
115,25,"S2",1,7.11e+12,3.842,64.124,11.2,98.3,"PC28"
116,25,"S6",5,7.02e+12,3.841,64.122,11,98.9,"PC28"
117,15,"S3",2,6.91e+12,3.738,75.397,22.2,102.7,"PC29"
118,43,"S1",0,6.79e+12,2.151,29.084,23.2,98.6,"PC2"
119,25,"S1",0,6.58e+12,3.911,64.128,10.5,96.6,"PC19"
120,41,"S1",0,6.58e+12,2.463,33.65,29.6,99.5,"PC3"
121,17,"S2",1,6.51e+12,4.087,74.708,10.2,96.4,"PC33"
122,8,"S3",2,6.31e+12,5.253,94.965,10.9,96.2,"PC30"
123,6,"S3",2,6.28e+12,7.604,127.073,17.7,97.5,"PC16"
124,1,"S3",2,5.99e+12,8.721,154.71,11.8,98.4,"PC18"
125,25,"S5",4,5.94e+12,4.064,59.243,9.6,104.4,"PC31"
126,5,"S3",2,5.86e+12,8.258,139.353,18,96.9,"PC20"
127,16,"S2",1,5.85e+12,4.103,74.701,9.8,94.6,"PC34"
128,31,"S2",1,5.33e+12,3.434,38.161,15.5,98.4,"PC5"
129,11,"S5",4,5.26e+12,3.74,79.086,18.2,103.1,"PC23"
130,10,"S3",2,5.25e+12,4.289,88.419,13,98.6,"PC8"
131,26,"S2",1,5.17e+12,4.065,59.248,9,101.6,"PC31"
132,7,"S5",4,5.13e+12,4.653,98.734,17.9,102.2,"PC22"
133,30,"S2",1,5.07e+12,3.277,50.361,15.7,99.4,"PC6"
134,13,"S3",2,5.03e+12,4.783,76.841,14.5,101,"PC9"
135,20,"S3",2,4.99e+12,4.45,73.194,13.2,96.3,"PC7"
136,42,"S1",0,4.97e+12,3.05,33.008,9.5,97,"PC4"
137,7,"S6",5,4.95e+12,4.652,98.737,17.3,100.5,"PC22"
138,7,"S1",0,4.84e+12,4.652,98.742,17.7,100.2,"PC22"
139,27,"S3",2,4.83e+12,4.045,58.97,11.1,111,"PC32"
140,24,"S1",0,4.75e+12,3.93,64.127,11,98.4,"PC26"
141,12,"S1",0,4.69e+12,3.739,79.085,18.1,100.2,"PC23"
142,9,"S3",2,4.64e+12,6.111,91.159,12.5,98.6,"PC10"
143,11,"S6",5,4.6e+12,3.739,79.09,17.1,100.8,"PC23"
144,2,"S3",2,4.58e+12,8.948,150.533,10.1,97.2,"PC21"
145,21,"S2",1,4.46e+12,3.913,69.025,9.8,98.8,"PC11"
146,27,"S1",0,4.27e+12,3.84,64.125,11.1,98.6,"PC28"
147,14,"S5",4,4.24e+12,3.297,76.839,21.1,100.9,"PC25"
148,12,"S5",4,4.22e+12,3.521,78.397,17.2,103.8,"PC24"
149,14,"S6",5,4.17e+12,3.297,76.822,19.1,101.7,"PC25"
150,13,"S1",0,4.16e+12,3.521,78.389,16.2,103.3,"PC24"
151,12,"S6",5,4.15e+12,3.521,78.389,16.3,100.9,"PC24"
152,20,"S1",0,4.11e+12,3.587,74.142,20.4,101.9,"PC27"
153,19,"S6",5,4.09e+12,3.587,74.133,21,98.6,"PC27"
154,15,"S1",0,3.95e+12,3.298,76.828,18.6,101.3,"PC25"
155,19,"S5",4,3.81e+12,3.587,74.144,21.6,100.6,"PC27"
156,23,"S4",3,3.65e+12,4.059,59.258,9.8,104.6,"PC31"
157,15,"S5",4,3.39e+12,3.739,75.391,21.2,103.7,"PC29"
158,6,"S5",4,3.35e+12,7.602,127.094,20.5,101.9,"PC16"
159,31,"S1",0,3.27e+12,3.783,56.968,15.9,97.5,"PC12"
160,8,"S6",5,3.26e+12,5.253,94.968,10.9,97.8,"PC30"
161,4,"S3",2,3.25e+12,8.354,143.1,10.2,97.4,"PC14"
162,3,"S3",2,3.23e+12,8.245,149.183,10.1,97,"PC17"
163,6,"S6",5,3.21e+12,7.602,127.068,19.1,97.9,"PC16"
164,15,"S6",5,3.21e+12,3.738,75.405,19.4,106.9,"PC29"
165,8,"S1",0,3.17e+12,5.254,94.978,11,100.1,"PC30"
166,24,"S3",2,3.15e+12,3.86,64.111,11.8,98.7,"PC15"
167,16,"S3",2,3.14e+12,4.102,74.697,10.6,96,"PC34"
168,26,"S3",2,3.14e+12,4.065,59.239,9.3,105.8,"PC31"
169,5,"S5",4,3.05e+12,8.256,139.356,19.2,101.9,"PC20"
170,6,"S2",1,3.04e+12,7.602,127.077,19.9,99.6,"PC16"
171,8,"S5",4,2.97e+12,5.254,94.961,11.6,97.4,"PC30"
172,23,"S3",2,2.95e+12,3.912,64.131,10.3,100.3,"PC19"
173,17,"S3",2,2.9e+12,4.086,74.701,9.8,99.8,"PC33"
174,5,"S2",1,2.89e+12,8.257,139.37,18.8,102.4,"PC20"
175,5,"S6",5,2.79e+12,8.256,139.346,17.3,97.1,"PC20"
176,16,"S4",3,2.78e+12,3.586,74.152,33,103.8,"PC27"
177,1,"S5",4,2.75e+12,8.718,154.712,12.7,99.8,"PC18"
178,16,"S1",0,2.74e+12,3.738,75.416,19.6,100.5,"PC29"
