"NO","PeakID","SampleID","SI","Amplitude","1H(CS)","13C(CS)","1H(LW)","13C(LW)","Designate_PC"
1,34,"S1",0,1.94e+14,3.276,56.202,9.6,95.6,NA
2,30,"S3",2,8.82e+13,3.276,56.203,9.6,95.8,NA
3,36,"S6",5,6.32e+13,2.151,29.081,24.8,96.3,NA
4,34,"S5",4,6.3e+13,2.151,29.081,25.4,95.9,NA
5,32,"S4",3,5.92e+13,2.15,29.083,24.7,96.4,NA
6,32,"S6",5,5.86e+13,2.464,33.649,29.3,96.3,NA
7,31,"S5",4,5.85e+13,2.464,33.65,30,96.3,NA
8,30,"S4",3,5.44e+13,2.463,33.646,29.1,96.5,NA
9,34,"S6",5,5.2e+13,3.052,33.008,9.4,96.9,NA
10,32,"S5",4,5.13e+13,3.052,33.007,10.1,96.7,NA
11,34,"S2",1,5.09e+13,3.053,33.008,9.5,96.5,NA
12,39,"S1",0,4.84e+13,3.432,38.163,15.5,96.1,NA
13,28,"S5",4,4.57e+13,3.276,56.204,10.2,95.7,NA
14,38,"S1",0,4.36e+13,3.276,50.385,15.4,95.4,NA
15,27,"S4",3,4.36e+13,3.275,56.201,9.5,95.7,NA
16,17,"S4",3,4.31e+13,4.446,73.181,13,94.8,NA
17,10,"S4",3,4.29e+13,4.285,88.409,12.4,94.8,NA
18,13,"S4",3,4.08e+13,4.776,76.843,14.3,95.1,NA
19,9,"S4",3,3.98e+13,6.1,91.163,12.4,94.9,NA
20,23,"S1",0,3.9e+13,3.912,69.02,9.6,96.6,NA
21,29,"S6",5,3.79e+13,3.276,56.201,9.5,95.5,NA
22,27,"S5",4,3.2e+13,3.784,56.962,16.3,96.4,NA
23,28,"S6",5,3.11e+13,3.784,56.961,15.3,96.2,NA
24,35,"S3",2,3.04e+13,2.151,29.078,24.4,96.3,NA
25,18,"S2",1,3e+13,3.521,74.769,22.8,114.4,NA
26,25,"S4",3,2.91e+13,3.783,56.963,15.4,96,NA
27,33,"S3",2,2.82e+13,2.464,33.647,29,97.7,NA
28,4,"S4",3,2.77e+13,8.344,143.081,9.7,94.9,NA
29,21,"S4",3,2.75e+13,3.858,64.119,11.5,96.1,NA
30,6,"S1",0,2.73e+13,7.599,127.077,17.2,96.3,NA
31,3,"S4",3,2.68e+13,8.234,149.195,9.6,94.7,NA
32,1,"S1",0,2.59e+13,8.717,154.705,11.7,94.9,NA
33,20,"S4",3,2.57e+13,3.91,64.125,10.4,96.7,NA
34,34,"S3",2,2.55e+13,3.053,33.008,9.5,96.8,NA
35,5,"S1",0,2.49e+13,8.252,139.35,16.5,94.8,NA
36,24,"S5",4,2.47e+13,3.854,64.122,22.3,98.1,NA
37,32,"S3",2,2.38e+13,3.432,38.163,15.4,96.7,NA
38,30,"S5",4,2.33e+13,3.432,38.165,16.1,96.8,NA
39,20,"S5",4,2.31e+13,4.449,73.19,14.1,97.3,NA
40,31,"S6",5,2.29e+13,3.431,38.162,15.2,96.1,NA
41,10,"S5",4,2.25e+13,4.288,88.42,13.5,97.4,NA
42,29,"S2",1,2.2e+13,3.277,56.202,9.6,96.4,NA
43,13,"S5",4,2.18e+13,4.782,76.843,15.1,97.5,NA
44,31,"S3",2,2.12e+13,3.276,50.38,15.2,95.5,NA
45,29,"S5",4,2.11e+13,3.276,50.387,16,95.6,NA
46,30,"S6",5,2.11e+13,3.275,50.384,15.3,96.1,NA
47,9,"S5",4,2.09e+13,6.107,91.163,13.3,95.8,NA
48,2,"S1",0,2.01e+13,8.941,150.527,10,96.1,NA
49,7,"S2",1,1.96e+13,4.653,98.738,15.9,96,NA
50,11,"S2",1,1.95e+13,3.74,79.088,16.4,97.3,NA
51,10,"S6",5,1.87e+13,4.288,88.415,12.5,96.4,NA
52,20,"S6",5,1.86e+13,4.449,73.184,13,96.4,NA
53,20,"S2",1,1.82e+13,4.45,73.182,13.1,96.9,NA
54,12,"S2",1,1.81e+13,3.521,78.391,17.3,99.9,NA
55,10,"S2",1,1.79e+13,4.289,88.417,12.6,96.7,NA
56,13,"S6",5,1.77e+13,4.782,76.839,14.3,97.2,NA
57,14,"S2",1,1.76e+13,3.297,76.835,19.5,98.1,NA
58,19,"S4",3,1.76e+13,3.929,64.128,10.8,96.6,NA
59,21,"S3",2,1.75e+13,3.913,69.021,9.6,96.4,NA
60,13,"S2",1,1.73e+13,4.783,76.841,14.4,97.5,NA
61,9,"S6",5,1.71e+13,6.108,91.158,12.4,95.1,NA
62,9,"S2",1,1.67e+13,6.109,91.158,12.6,95.6,NA
63,19,"S2",1,1.59e+13,3.587,74.14,18.7,96.2,NA
64,22,"S4",3,1.57e+13,3.839,64.127,10.9,95.6,NA
65,28,"S3",2,1.53e+13,3.784,56.961,15.5,97.6,NA
66,36,"S2",1,1.51e+13,2.153,29.064,24.4,96.7,NA
67,18,"S3",2,1.45e+13,3.52,74.771,23,117.4,NA
68,32,"S2",1,1.4e+13,2.465,33.643,28.1,98.6,NA
69,3,"S5",4,1.4e+13,8.242,149.195,10.3,96.7,NA
