ID,GroupID,SI,Amplitude,Center,LW..Hz.
9835,3110,21,236495.72,"2.117, 12.796","5.0,   12.7"
9872,4099,21,310993.83,"1.206,  20.26","20.0,   20.0"
9887,256,21,391780.3,"3.993,  73.88","20.0,   20.0"
9939,2010,21,430191.93,"3.602,  55.42","20.0,   20.0"
9944,2630,21,559310.2,"3.433,  66.77","20.0,   20.0"
9983,2630,21,490782.81,"3.748,  64.23","20.0,    5.0"
10002,2824,21,426717.45,"0.814,  16.18","20.0,   20.0"
10068,2630,21,525422.27,"3.818,  64.89","20.0,   20.0"
10072,900,21,517044.22,"3.705,  71.82","20.0,   20.0"
10135,900,21,259718.71,"3.235,  74.62","5.0,   20.0"
10143,2010,21,203250.34,"3.772,  56.89","5.0,   20.0"
10185,2799,21,437317.87,"2.563,  46.91","20.0,   20.0"
10187,441,21,452307.27,"1.178,  22.99","20.0,   20.0"
10199,1588,21,413470.8,"5.304, 128.92","18.3,   20.0"
10233,3233,21,256301.03,"5.428, 124.54","10.4,   20.0"
10250,900,21,365473.79,"3.488,  75.17","20.0,   20.0"
10254,441,21,469063.15,"1.241,  26.40","20.0,   20.0"
10286,900,21,534534.45,"3.535,  74.17","20.0,   20.0"
10292,900,21,392320.76,"3.749,  73.22","20.0,   20.0"
10318,1713,21,450474.42,"0.858, 12.265","20.0,   20.0"
10324,441,21,345242.07,"1.236,  25.66","20.0,   20.0"
10328,3258,21,455961.34,"4.103,  68.08","20.0,   20.0"
10362,900,21,398993.35,"3.787,  70.94","20.0,   20.0"
10430,441,21,403870.39,"1.269,  25.56","20.0,   20.0"
10470,3301,21,243860.52,"5.148,  79.67","9.4,    5.0"
10502,2613,21,401048.8,"3.791,  79.15","20.0,   20.0"
10506,441,21,480603.76,"1.260,  24.37","20.0,   20.0"
10523,2789,21,406889.88,"1.743,  42.57","20.0,   20.0"
10558,3367,21,596401.9,"2.236,  33.51","20.0,   20.0"
10562,441,21,409077.71,"1.193,  27.68","20.0,   20.0"
10592,441,21,380514.83,"1.347,  31.98","20.0,   20.0"
10607,441,21,521737.16,"1.327,  23.48","20.0,   20.0"
10623,2474,21,217742.51,"4.044,  83.47","5.0,   20.0"
10678,2682,21,556770.08,"4.320,  64.90","20.0,   20.0"
10682,1287,21,503615.89,"2.013,  27.92","20.0,   20.0"
